id,subscriber,subscriber_node,producer,producer_node,layer,alogorithm,status,e2e_path,e2e_latency,e2e_jitter,e2e_hopCount
c23eeff4-7d0d-486c-a090-dd36e24d215a,subscriber-1,node1,producer-1,node4,BASE,LBS,SERVED,,3,0,3
facddde0-be47-4991-845e-405759bb1b58,subscriber-2,node5,producer-2,node8,BASE,LBS,SERVED,,3,0,3
830fb88f-d0a6-4ec6-b5cb-bacf76e0b5c4,subscriber-3,node9,producer-3,node12,BASE,LBS,SERVED,,3,0,3
d03ee33a-d48c-41e8-939a-743bcad1b3a0,subscriber-4,node13,producer-4,node16,BASE,LBS,SERVED,,3,0,3
18edd1ba-0a86-4f89-9dc5-095778ee4e17,subscriber-5,node2,producer-1,node4,BASE,LBS,SERVED,,2,0,2
9fd4a65c-8447-4eca-9f48-f7fb8f5365d3,subscriber-6,node6,producer-2,node8,BASE,LBS,SERVED,,2,0,2
16c30443-f6e4-4e7a-894b-0fb5e33a43a5,subscriber-1,node1,producer-1,node4,EL1,LBS,REJECTED,-1,-1,-1,-1
f0c30294-e758-48fa-ba29-2f2ad5f99e28,subscriber-2,node5,producer-2,node8,EL1,LBS,SERVED,,5,0,5
1ad8eae3-ff9c-4e34-af0f-a5d96757093b,subscriber-3,node9,producer-3,node12,EL1,LBS,REJECTED,-1,-1,-1,-1
4291f748-9729-4c50-8491-bb47307807ee,subscriber-4,node13,producer-4,node16,EL1,LBS,REJECTED,-1,-1,-1,-1
afa48fbb-7dac-40c2-99c3-c0bba47114f5,subscriber-5,node2,producer-1,node4,EL1,LBS,REJECTED,-1,-1,-1,-1
65aa81b4-1bac-467c-af94-6e3a2027a475,subscriber-6,node6,producer-2,node8,EL1,LBS,SERVED,"[object Object],[object Object],[object Object],[object Object]",4,0,4
791d73ca-45f4-44ff-bc45-f90bd5b52544,subscriber-1,node1,producer-2,node8,BASE,LBS,SERVED,"[object Object],[object Object],[object Object],[object Object]",4,0,4
a5c7286a-968a-4998-981f-6c56da52dbf8,subscriber-2,node5,producer-3,node12,BASE,LBS,SERVED,"[object Object],[object Object],[object Object],[object Object]",4,0,4
90047356-77f2-4d98-a941-f3ef766975db,subscriber-3,node9,producer-4,node16,BASE,LBS,SERVED,"[object Object],[object Object],[object Object],[object Object]",4,0,4
01812644-30c2-494b-998f-34bef01a4ede,subscriber-4,node13,producer-1,node4,BASE,LBS,SERVED,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",6,0,6
